l2_code,l2_label,n_enfants_l3,n_articles_observes,n_articles_extrapoles,n_lots,tokens_fixe_par_appel,tokens_input_total,cout_sans_cache_min,cout_sans_cache_max,cout_avec_cache_min,cout_avec_cache_max
20000002,Arts et divertissement,11,1221,1221,49,408,657098,0.3872,0.4604,0.2233,0.2966
20000209,Secteurs économiques,19,843,843,34,558,458841,0.2699,0.3205,0.1555,0.2061
20000822,Discipline,111,650,650,26,1896,388459,0.2254,0.2644,0.1286,0.1676
20000593,Gouvernement,22,379,379,16,589,207182,0.1218,0.1445,0.0701,0.0929
20000056,Conflit armé,4,246,246,10,316,131520,0.0776,0.0886,0.0448,0.0559
20000082,Criminalité,21,239,239,10,577,130478,0.0767,0.0911,0.0442,0.0585
20000464,Traitements,10,194,194,8,413,104531,0.0616,0.0732,0.0355,0.0472
20000344,Économie,10,193,193,8,411,103993,0.0613,0.0728,0.0353,0.0469
20000538,Loisirs,8,193,193,8,379,103737,0.0611,0.0727,0.0353,0.0469
20000638,Relations internationales,6,189,189,8,347,101394,0.0598,0.0711,0.0345,0.0458
20000045,Médias,8,183,183,8,372,98464,0.058,0.069,0.0335,0.0444
20000621,Politique du gouvernement,19,150,150,6,548,81556,0.048,0.057,0.0276,0.0366
20000170,Microéconomie,6,145,145,6,357,77802,0.0459,0.0546,0.0265,0.0352
20000574,Élections,15,126,126,6,484,68650,0.0404,0.0479,0.0233,0.0308
20000400,"Écoles, collèges, lycées",10,108,108,5,409,58398,0.0344,0.0409,0.0198,0.0263
20000385,Marchés,4,100,100,4,321,53463,0.0315,0.036,0.0182,0.0227
20000106,Système judiciaire,3,88,88,4,302,47126,0.0278,0.0304,0.016,0.0187
20000129,Forces de l'ordre,4,86,86,4,313,46126,0.0272,0.0311,0.0157,0.0196
20000038,Culture,7,84,84,4,361,45274,0.0267,0.0317,0.0154,0.0204
20000446,Maladies et état de santé,8,81,81,4,387,43813,0.0258,0.0307,0.0149,0.0197
20000065,Troubles civils,4,72,72,3,315,38514,0.0227,0.026,0.0131,0.0164
20000441,Nature,10,69,69,3,402,37210,0.0219,0.0261,0.0126,0.0168
20000148,Désastres,3,64,64,3,301,34298,0.0202,0.0221,0.0117,0.0136
20000509,Emploi,10,59,59,3,419,32043,0.0189,0.0224,0.0109,0.0144
20000139,Accident,5,59,59,3,333,31785,0.0187,0.0223,0.0108,0.0143
20000524,Relations du travail,2,54,54,3,287,29038,0.0171,0.0179,0.0099,0.0107
20000121,Lois,4,53,53,3,315,28600,0.0168,0.0192,0.0097,0.0121
20000565,Mode de vie,5,49,49,2,342,26252,0.0155,0.0184,0.0089,0.0119
20000742,Sciences sociales,12,41,41,2,425,22243,0.0131,0.0155,0.0075,0.01
20000808,Valeurs,4,33,33,2,320,17859,0.0105,0.012,0.0061,0.0075
20000780,Famille,7,29,29,2,363,15858,0.0093,0.0111,0.0054,0.0071
20000657,Croyances,16,28,28,2,499,15608,0.0091,0.0108,0.0053,0.0069
20000697,Établissement religieux,3,27,27,2,299,14686,0.0086,0.0094,0.005,0.0058
20000504,Mondanités,1,27,27,2,271,14630,0.0086,0.0086,0.005,0.005
20000501,Cérémonie,4,24,24,1,322,12845,0.0076,0.0087,0.0044,0.0055
20000485,Profession médicale,3,22,22,1,304,11783,0.0069,0.0076,0.004,0.0047
20000587,Droits fondamentaux,7,17,17,1,374,9244,0.0054,0.0065,0.0031,0.0042
20000756,Technologie et ingénierie,9,16,16,1,418,8767,0.0052,0.0061,0.003,0.0039
20000073,Processus de paix,5,13,13,1,341,7124,0.0042,0.005,0.0024,0.0032
20000461,Centre de soins,2,13,13,1,291,7074,0.0042,0.0044,0.0024,0.0026
20000690,Fête religieuse,9,13,13,1,397,7180,0.0042,0.005,0.0024,0.0032
20000717,Sciences naturelles,9,12,12,1,385,6646,0.0039,0.0046,0.0022,0.003
20000735,Recherche scientifique,4,12,12,1,314,6575,0.0039,0.0044,0.0022,0.0028
20000817,Protection sociale,6,12,12,1,353,6614,0.0039,0.0046,0.0022,0.003
20000788,L'humanité,12,9,9,1,435,5131,0.003,0.0035,0.0017,0.0023
20001339,Bien-être,2,8,8,1,288,4462,0.0026,0.0027,0.0015,0.0016
20001377,war victims,2,7,7,1,289,3942,0.0023,0.0024,0.0013,0.0014
20000799,Condition sociale,2,7,7,1,286,3939,0.0023,0.0024,0.0013,0.0014
20001108,Évènement sportif,5,5,5,1,331,2940,0.0017,0.002,0.001,0.0013
20001301,Exploit sportif,3,4,4,1,301,2388,0.0014,0.0015,0.0008,0.0009
20000770,Démographie,1,2,2,1,270,1314,0.0008,0.0008,0.0004,0.0004
20000531,Retraite,1,2,2,1,273,1317,0.0008,0.0008,0.0004,0.0004
20000521,Législation du travail,1,2,2,1,277,1321,0.0008,0.0008,0.0004,0.0004
20000703,Chefs religieux,1,2,2,1,271,1315,0.0008,0.0008,0.0004,0.0004
20000533,Chômage,1,2,2,1,272,1316,0.0008,0.0008,0.0004,0.0004
20000710,Sciences biomédicales,1,1,1,1,274,796,0.0004,0.0004,0.0002,0.0002
20000077,Reconstruction,1,1,1,1,270,792,0.0004,0.0004,0.0002,0.0002
20000424,Pollution de l'environnement,5,1,1,1,339,861,0.0005,0.0005,0.0003,0.0003
20000775,Discrimination,4,1,1,1,313,835,0.0005,0.0005,0.0003,0.0003
20000802,Problèmes sociaux,7,1,1,1,368,890,0.0005,0.0006,0.0003,0.0003
