fascicule,article_id,title,tokens_prompt,tokens_iptc,tokens_article,tokens_total,cout_prompt_sans_cache,cout_prompt_avec_cache,cout_iptc_sans_cache,cout_iptc_avec_cache,cout_article,cout_completion_min,cout_completion,cout_completion_max,cout_total_sans_cache_min,cout_total_sans_cache,cout_total_sans_cache_max,cout_total_avec_cache_min,cout_total_avec_cache,cout_total_avec_cache_max
4109000,DIV.35,DIV.35,135,8775,32,8942,6.8e-05,3.4e-05,0.004387,0.0022,1.6e-05,2.3e-05,4.7e-05,8.2e-05,0.004494,0.004517,0.004554,0.002272,0.002296,0.002332
4109000,DIV.41,Les Sons-Secrétaires d'Etat,135,8775,77,8987,6.8e-05,3.4e-05,0.004387,0.0022,3.9e-05,2.3e-05,4.7e-05,8.2e-05,0.004516,0.00454,0.004576,0.002295,0.002319,0.002355
4109000,DIV.52,"Bulletin Politique : Toulouse, le 30 Décembre",135,8775,960,9870,6.8e-05,3.4e-05,0.004387,0.0022,0.00048,2.3e-05,4.7e-05,8.2e-05,0.004958,0.004981,0.005018,0.002736,0.00276,0.002796
4109000,DIV.81,Informations,135,8775,480,9390,6.8e-05,3.4e-05,0.004387,0.0022,0.00024,2.3e-05,4.7e-05,8.2e-05,0.004717,0.004741,0.004777,0.002496,0.00252,0.002556
4109000,DIV.97,Les Avantages de la République,135,8775,925,9835,6.8e-05,3.4e-05,0.004387,0.0022,0.000463,2.3e-05,4.7e-05,8.2e-05,0.00494,0.004964,0.005,0.002719,0.002743,0.002779
4109000,DIV.110,UN SCANDALE,135,8775,84,8994,6.8e-05,3.4e-05,0.004387,0.0022,4.2e-05,2.3e-05,4.7e-05,8.2e-05,0.00452,0.004543,0.00458,0.002298,0.002322,0.002358
4109000,DIV.115,PATRIOTISME DES BONAPARTISTES,135,8775,161,9071,6.8e-05,3.4e-05,0.004387,0.0022,8.1e-05,2.3e-05,4.7e-05,8.2e-05,0.004558,0.004582,0.004618,0.002337,0.002361,0.002397
4109000,DIV.126,A Paris,135,8775,182,9092,6.8e-05,3.4e-05,0.004387,0.0022,9.1e-05,2.3e-05,4.7e-05,8.2e-05,0.004568,0.004592,0.004628,0.002347,0.002371,0.002407
4109000,DIV.133,En Province,135,8775,576,9486,6.8e-05,3.4e-05,0.004387,0.0022,0.000288,2.3e-05,4.7e-05,8.2e-05,0.004765,0.004789,0.004825,0.002544,0.002568,0.002604
4109000,DIV.148,Étranger,135,8775,76,8986,6.8e-05,3.4e-05,0.004387,0.0022,3.8e-05,2.3e-05,4.7e-05,8.2e-05,0.004515,0.004539,0.004575,0.002294,0.002318,0.002354
4109000,DIV.156,NOTRE PRIME GRATUITE,135,8775,720,9630,6.8e-05,3.4e-05,0.004387,0.0022,0.00036,2.3e-05,4.7e-05,8.2e-05,0.004837,0.004861,0.004897,0.002616,0.00264,0.002676
4109000,DIV.177,L'ASSISTANCE DÉMOCRATIQUE,135,8775,1630,10540,6.8e-05,3.4e-05,0.004387,0.0022,0.000815,2.3e-05,4.7e-05,8.2e-05,0.005292,0.005316,0.005352,0.003071,0.003095,0.003131
4109000,DIV.222,GRAND THEATRE (salle du Cirque),135,8775,75,8985,6.8e-05,3.4e-05,0.004387,0.0022,3.7e-05,2.3e-05,4.7e-05,8.2e-05,0.004515,0.004539,0.004575,0.002294,0.002318,0.002354
