fascicule,n_articles,tokens_prompt,tokens_iptc,tokens_article,tokens_total,cout_prompt_sans_cache,cout_prompt_avec_cache,cout_iptc_sans_cache,cout_iptc_avec_cache,cout_article,cout_completion_min,cout_completion,cout_completion_max,cout_total_sans_cache_min,cout_total_sans_cache,cout_total_sans_cache_max,cout_total_avec_cache_min,cout_total_avec_cache,cout_total_avec_cache_max
4109000,30,4050,263250,21488,288788,0.00204,0.00102,0.13161,0.066,0.010745,0.00069,0.00141,0.00246,0.145064,0.145781,0.146864,0.078431,0.079151,0.080231
4109676,52,7020,456300,21518,484838,0.003536,0.001768,0.228124,0.1144,0.010761,0.001196,0.002444,0.004264,0.243581,0.244826,0.246707,0.128086,0.129334,0.131206
4112815,58,7830,508950,35722,552502,0.003944,0.001972,0.254446,0.1276,0.017859,0.001334,0.002726,0.004756,0.277542,0.278932,0.281027,0.148722,0.150114,0.152202
4116651,24,3240,210600,31286,245126,0.001632,0.000816,0.105288,0.0528,0.015644,0.000552,0.001128,0.001968,0.123098,0.123673,0.124539,0.069793,0.070369,0.071233
4117053,31,4185,272025,28732,304942,0.002108,0.001054,0.135997,0.0682,0.014365,0.000713,0.001457,0.002542,0.153161,0.153904,0.155022,0.084309,0.085053,0.086169
4123163,90,12150,789750,34294,836194,0.00612,0.00306,0.39483,0.198,0.017149,0.00207,0.00423,0.00738,0.420105,0.42226,0.425512,0.22021,0.22237,0.22561
4133627,91,12285,798525,45165,855975,0.006188,0.003094,0.399217,0.2002,0.022583,0.002093,0.004277,0.007462,0.430018,0.432195,0.435486,0.2279,0.230084,0.23336
4133872,103,13905,903825,42897,960627,0.007004,0.003502,0.451861,0.2266,0.021456,0.002369,0.004841,0.008446,0.482611,0.485076,0.4888,0.253841,0.256313,0.260021
4134119,117,15795,1026675,41024,1083494,0.007956,0.003978,0.513279,0.2574,0.020513,0.002691,0.005499,0.009594,0.544357,0.547157,0.551388,0.284492,0.2873,0.291512
4135298,115,15525,1009125,53904,1078554,0.00782,0.00391,0.504505,0.253,0.026951,0.002645,0.005405,0.00943,0.541844,0.544596,0.548758,0.286421,0.289181,0.293321
