lot_id,fascicule,batch_index,n_articles,tokens_articles,tokens_fixe,tokens_total,tokens_output_min,tokens_output_moyen,tokens_output_max,cout_sans_cache_min,cout_avec_cache_min,cout_sans_cache_moyen,cout_avec_cache_moyen,cout_sans_cache_max,cout_avec_cache_max
1,4109000,0,25,17654,8912,26566,675,1175,1675,0.0143,0.01207,0.01505,0.01282,0.0158,0.01357
2,4109000,1,5,3834,8912,12746,140,240,340,0.00658,0.00436,0.00673,0.00451,0.00688,0.00466
3,4109676,0,25,8021,8912,16933,675,1175,1675,0.00948,0.00726,0.01023,0.00801,0.01098,0.00876
4,4109676,1,25,10794,8912,19706,680,1180,1680,0.01087,0.00865,0.01162,0.0094,0.01237,0.01015
5,4109676,2,2,2703,8912,11615,59,99,139,0.0059,0.00367,0.00596,0.00373,0.00602,0.00379
6,4112815,0,25,8539,8912,17451,675,1175,1675,0.00974,0.00752,0.01049,0.00827,0.01124,0.00902
7,4112815,1,25,19055,8912,27967,680,1180,1680,0.015,0.01278,0.01575,0.01353,0.0165,0.01428
8,4112815,2,8,8128,8912,17040,221,381,541,0.00885,0.00663,0.00909,0.00687,0.00933,0.00711
9,4116651,0,23,25812,8912,34724,622,1082,1542,0.01829,0.01607,0.01898,0.01676,0.01967,0.01745
10,4116651,1,1,5474,8912,14386,32,52,72,0.00724,0.00502,0.00727,0.00505,0.0073,0.00508
11,4117053,0,25,20913,8912,29825,675,1175,1675,0.01593,0.0137,0.01668,0.01445,0.01742,0.0152
12,4117053,1,6,7819,8912,16731,167,287,407,0.00862,0.00639,0.0088,0.00657,0.00898,0.00675
13,4123163,0,25,10405,8912,19317,677,1177,1677,0.01067,0.00845,0.01142,0.0092,0.01217,0.00995
14,4123163,1,25,10328,8912,19240,680,1180,1680,0.01064,0.00842,0.01139,0.00917,0.01214,0.00992
15,4123163,2,25,8227,8912,17139,689,1189,1689,0.0096,0.00738,0.01035,0.00813,0.0111,0.00888
16,4123163,3,15,5334,8912,14246,425,725,1025,0.00776,0.00554,0.00821,0.00599,0.00866,0.00644
17,4133627,0,25,12849,8912,21761,676,1176,1676,0.01189,0.00967,0.01264,0.01042,0.01339,0.01117
18,4133627,1,25,10261,8912,19173,680,1180,1680,0.01061,0.00838,0.01136,0.00913,0.01211,0.00988
19,4133627,2,25,13362,8912,22274,692,1192,1692,0.01218,0.00995,0.01292,0.0107,0.01367,0.01145
20,4133627,3,16,8693,8912,17605,453,773,1093,0.00948,0.00726,0.00996,0.00774,0.01044,0.00822
