niveau,mesure,min,max,mean,median
article,tokens_prompt,135,135,135,135
article,tokens_iptc,8775,8775,8775,8775
article,tokens_article,13,23119,521.78997,200
article,tokens_total,8923,32029,9431.78997,9110
article,cout_prompt_sans_cache,7e-05,7e-05,7e-05,7e-05
article,cout_prompt_avec_cache,3e-05,3e-05,3e-05,3e-05
article,cout_iptc_sans_cache,0.00439,0.00439,0.00439,0.00439
article,cout_iptc_avec_cache,0.0022,0.0022,0.0022,0.0022
article,cout_article,1e-05,0.01156,0.00026,0.0001
article,cout_completion_min,2e-05,2e-05,2e-05,2e-05
article,cout_completion,5e-05,5e-05,5e-05,5e-05
article,cout_completion_max,8e-05,8e-05,8e-05,8e-05
article,cout_total_sans_cache_min,0.00448,0.01604,0.00474,0.00458
article,cout_total_sans_cache,0.00451,0.01606,0.00476,0.0046
article,cout_total_sans_cache_max,0.00454,0.0161,0.0048,0.00464
article,cout_total_avec_cache_min,0.00226,0.01382,0.00252,0.00236
article,cout_total_avec_cache,0.00229,0.01384,0.00254,0.00238
article,cout_total_avec_cache_max,0.00232,0.01388,0.00258,0.00242
fascicule,tokens_prompt,540,27270,9043.65,7357.5
fascicule,tokens_iptc,35100,1772550,587837.25,478237.5
fascicule,tokens_article,6335,100686,34954.71,32123.5
fascicule,tokens_total,43110,1862632,631835.61,513200.0
fascicule,cout_prompt_sans_cache,0.00027,0.01374,0.00456,0.00371
fascicule,cout_prompt_avec_cache,0.00014,0.00687,0.00228,0.00185
fascicule,cout_iptc_sans_cache,0.01755,0.88617,0.29389,0.23909
fascicule,cout_iptc_avec_cache,0.0088,0.4444,0.14738,0.1199
fascicule,cout_article,0.00317,0.05034,0.01748,0.01606
fascicule,cout_completion_min,9e-05,0.00465,0.00154,0.00125
fascicule,cout_completion,0.00019,0.00949,0.00315,0.00256
fascicule,cout_completion_max,0.00033,0.01656,0.00549,0.00447
fascicule,cout_total_sans_cache_min,0.02164,0.93582,0.31741,0.25779
fascicule,cout_total_sans_cache,0.02174,0.94066,0.31902,0.25907
fascicule,cout_total_sans_cache_max,0.02189,0.94796,0.32144,0.26101
fascicule,cout_total_avec_cache_min,0.01276,0.49492,0.16862,0.13897
fascicule,cout_total_avec_cache,0.01286,0.49968,0.17023,0.14025
fascicule,cout_total_avec_cache_max,0.013,0.5068,0.17264,0.14218
corpus_entier,cout_total_sans_cache,31.74,32.14,,31.9
corpus_entier,cout_total_avec_cache,16.86,17.26,,17.02
