fascicule,article_id,title,n_words,n_tokens
4109000,DIV.35,DIV.35,14,32
4109000,DIV.41,Les Sons-Secrétaires d'Etat,36,77
4109000,DIV.52,"Bulletin Politique : Toulouse, le 30 Décembre",649,960
4109000,DIV.81,Informations,328,480
4109000,DIV.97,Les Avantages de la République,646,925
4109000,DIV.110,UN SCANDALE,51,84
4109000,DIV.115,PATRIOTISME DES BONAPARTISTES,104,161
4109000,DIV.126,A Paris,124,182
4109000,DIV.133,En Province,362,576
4109000,DIV.148,Étranger,54,76
4109000,DIV.156,NOTRE PRIME GRATUITE,425,720
4109000,DIV.177,L'ASSISTANCE DÉMOCRATIQUE,1099,1630
4109000,DIV.222,GRAND THEATRE (salle du Cirque),33,75
4109000,DIV.233,THÉATRE DES VARIÉTÉS,171,406
4109000,DIV.249,Annonces,57,87
4109000,DIV.256,INTÉRIEUR,467,689
4109000,DIV.287,EXTÉRIEUR,92,156
4109000,DIV.301,LA MAISON VIDE Par JULES CLARETIE,2251,3367
4109000,DIV.357,Courrier de Paris : (Correspondance particulière de la DÉPÊCHE),1212,1785
4109000,DIV.394,CORRESPONDANCE TÉLÉGRAPHIQUE : Service particulier de la « DÉPÊCHE »,428,663
4109000,DIV.422,Bourse de Toulouse du 30 Déc,282,430
4109000,DIV.432,BOURSE DE PARIS du 29 décembre,597,699
4109000,DIV.443,Annonces,384,587
4109000,DIV.464,DIV.464,10,20
4109000,DIV.469,DIV.469,1341,2787
4109000,DIV.585,DIV.585,309,484
4109000,DIV.593,DIV.593,22,46
4109000,DIV.598,DIV.598,897,1564
4109000,DIV.634,DIV.634,30,57
4109000,DIV.639,DIV.639,986,1683
4109676,DIV.28,"Les Incarnations de 1 Goblet : TOULOUSE, 1er JUILLET 1882",714,1136
4109676,DIV.63,LA RÉFORME JUDICIAIRE,389,551
4109676,DIV.78,LE BUDGET DE 1883,172,249
4109676,DIV.89,LA RÉORGANISATION DE LA TUNISIE,133,198
4109676,DIV.97,LA TRAITE DES ESCLAVES,103,145
4109676,DIV.107,Les Bataillons scolaires,84,117
4109676,DIV.115,Arrestation d'un Employé,66,87
4109676,DIV.122,Le Rapport général du Budget,24,33
4109676,DIV.127,La Direction du « Gaulois »,19,34
4109676,DIV.132,Les Projets de Décentralisation,57,85
4109676,DIV.139,Conseil Supérieur de la Guerre,39,59
4109676,DIV.145,Mer intérieure en Tunisie,52,72
4109676,DIV.152,Circulaire du Ministre de la Justice,49,71
4109676,DIV.157,La Statue de Rabelais,29,45
4109676,DIV.162,NOUVELLES DIVERSES,142,233
4109676,DIV.174,LES ÉVÉNEMENTS D'ÉGYPTE,371,570
4109676,DIV.197,LA CONFÉRENCE,250,371
4109676,DIV.215,Les Journaux du Matin,145,214
4109676,DIV.227,Les Journaux du Soir,250,374
4109676,DIV.244,RUSSIE,27,44
4109676,DIV.251,ANGLETERRE,214,318
4109676,DIV.261,ITALIE,69,120
4109676,DIV.270,LES CRIMES DE L'AMOUR PAR M. L. GAGNEUR : PREMIERE PARTIE,956,1492
4109676,DIV.322,PETITES NOUVELLES,533,847
4109676,DIV.346,UNE FEMME BRULÉE VIVE,383,556
4109676,DIV.362,Manœuvres de la 67e Brigade.,1819,2863
4109676,DIV.439,HAUTE-GARONNE,29,59
4109676,DIV.444,HAUTES-PYRÉNÉES,50,91
4109676,DIV.452,TARN,120,183
4109676,DIV.458,TRIBUNE DU TRAVAIL,394,617
4109676,DIV.482,DERNIÈRE HEURE : Service télégraphique spécial de la DÉPÊCHE.,93,153
4109676,DIV.490,Annonces,152,273
4109676,DIV.501,BOURSE DE TOULOUSE DU 30 JUIN,735,907
4109676,DIV.515,BOURSE DE PARIS Du 30 Juin,40,113
4109676,DIV.527,DIEU DISPOSE PAR ALEXANDRE DUMAS,989,1447
4109676,DIV.567,BULLETIN FINANCIER,139,296
4109676,DIV.576,MARCHE DE TOULOUSE Du 30 Juin,873,957
4109676,DIV.590,Annonces,299,627
4109676,DIV.603,Publicité,75,174
4109676,DIV.613,Annonces,193,402
4109676,DIV.630,SPECTACLES DU 1 JUILLET,32,81
4109676,DIV.636,Publicité,11,34
4109676,DIV.640,Publicité,34,113
4109676,DIV.647,Annonces,165,340
4109676,DIV.670,Publicité,68,169
4109676,DIV.681,Annonces,97,174
4109676,DIV.691,Publicité,107,216
4109676,DIV.701,Annonces,149,304
4109676,DIV.706,Publicité,60,153
4109676,DIV.717,Annonces,30,48
4109676,DIV.721,Publicité,224,449
4109676,DIV.738,Heures des Départs et des Arrivées des Trains des Chemins de fer du Midi et d'Orléans (Service d'été),1439,2254
4112815,DIV.32,Annonces,26,55
4112815,DIV.41,LA JOURNÉE DE HUIT HEURES,1586,2256
4112815,DIV.72,Annonces,10,21
4112815,DIV.76,Ouvriers et Capitalistes,618,891
4112815,DIV.93,M. CARNOT DÉCORÉ PAR LE TZAR,609,870
4112815,DIV.104,La Succession du prince Jérôme,210,276
4112815,DIV.111,LE 1er MAI,81,118
4112815,DIV.118,Les Vins platrés,86,132
