item,reponse,secondes,horodatage
A001,n,29.6,2026-08-23T16:00:48
A002,n,19.6,2026-08-23T16:01:07
A003,o,19.5,2026-08-23T16:01:27
A004,o,17.9,2026-08-23T16:01:45
A005,?,23.5,2026-08-23T16:02:08
A006,o,6.9,2026-08-23T16:02:15
A007,n,15.6,2026-08-23T16:02:31
A008,o,22.8,2026-08-23T16:02:53
A009,o,8.5,2026-08-23T16:03:02
A010,n,21.0,2026-08-23T16:03:23
A011,n,12.8,2026-08-23T16:03:36
A012,n,47.3,2026-08-23T16:04:23
A013,o,47.0,2026-08-23T16:05:10
A014,?,13.5,2026-08-23T16:05:23
A015,o,7.2,2026-08-23T16:05:31
A016,?,42.1,2026-08-23T16:06:13
A017,o,23.3,2026-08-23T16:06:36
A018,n,14.7,2026-08-23T16:06:51
A019,o,45.0,2026-08-23T16:07:36
A020,n,57.5,2026-08-23T16:08:33
A021,o,11.3,2026-08-23T16:08:45
A022,?,53.6,2026-08-23T16:09:38
A023,o,75.1,2026-08-23T16:10:53
A024,o,6.9,2026-08-23T16:11:00
A025,n,9.6,2026-08-23T16:11:10
A026,?,289.5,2026-08-23T16:15:59
A027,o,137.5,2026-08-23T16:18:17
A028,o,10.4,2026-08-23T16:18:27
A029,o,67.1,2026-08-23T16:19:34
A030,n,4.3,2026-08-23T16:19:39
A031,n,10.6,2026-08-23T16:19:49
A032,o,148.3,2026-08-23T16:22:18
A033,o,26.6,2026-08-23T16:22:44
A034,n,35.2,2026-08-23T16:23:19
A035,o,22.1,2026-08-23T16:23:41
A036,n,88.7,2026-08-23T16:25:10
A037,o,48.6,2026-08-23T16:25:59
A038,n,110.3,2026-08-23T16:27:49
A039,n,10.0,2026-08-23T16:27:59
A040,o,28.3,2026-08-23T16:28:27
A041,n,35.9,2026-08-23T16:29:03
A042,n,49.1,2026-08-23T16:29:52
A043,n,25.2,2026-08-23T16:30:18
A044,o,12.5,2026-08-23T16:30:30
A045,o,21.7,2026-08-23T16:30:52
A046,o,15.3,2026-08-23T16:31:07
A047,n,33.1,2026-08-23T16:31:40
A048,n,241.4,2026-08-23T16:35:42
A049,?,105.2,2026-08-23T16:37:27
A050,o,7.9,2026-08-23T16:37:35
A051,o,28.5,2026-08-23T16:38:03
A052,o,5.4,2026-08-23T16:38:09
A053,n,13.2,2026-08-23T16:38:22
A054,o,29.8,2026-08-23T16:38:52
A055,n,34.1,2026-08-23T16:39:26
A056,o,134.1,2026-08-23T16:41:40
A057,n,30.5,2026-08-23T16:42:10
A058,n,10.6,2026-08-23T16:42:21
A059,n,14.6,2026-08-23T16:42:36
A060,o,15.7,2026-08-23T16:42:51
A061,o,142.6,2026-08-23T16:45:14
A062,o,79.6,2026-08-23T16:46:34
B001,n,23.9,2026-08-23T16:46:58
B002,n,18.9,2026-08-23T16:47:17
B003,n,68.7,2026-08-23T16:48:25
B004,n,9.1,2026-08-23T16:48:34
B005,?,19.5,2026-08-23T16:48:54
B006,n,31.0,2026-08-23T16:49:25
B007,o,2.7,2026-08-23T16:49:27
B008,?,10.5,2026-08-23T16:49:38
B009,o,14.0,2026-08-23T16:49:52
B010,n,72.2,2026-08-23T16:51:04
B011,n,27.5,2026-08-23T16:51:32
B012,n,8.3,2026-08-23T16:51:40
B013,n,5.1,2026-08-23T16:51:45
B014,n,44.6,2026-08-23T16:52:30
B015,n,7.4,2026-08-23T16:52:37
B016,?,16.0,2026-08-23T16:52:53
B017,n,152.7,2026-08-23T16:55:26
B018,?,7.3,2026-08-23T16:55:33
B019,o,5.2,2026-08-23T16:55:38
B020,o,13.5,2026-08-23T16:55:52
B021,n,40.1,2026-08-23T16:56:32
B022,o,409.1,2026-08-23T17:03:21
B023,o,37.9,2026-08-23T17:03:59
B024,n,5.2,2026-08-23T17:04:04
B025,o,9.8,2026-08-23T17:04:14
B026,n,10.1,2026-08-23T17:04:24
B027,o,22.9,2026-08-23T17:04:47
B028,n,8.1,2026-08-23T17:04:55
B029,n,10.5,2026-08-23T17:05:06
B030,n,183.5,2026-08-23T17:08:09
B031,?,86.2,2026-08-23T17:09:35
B032,n,6.7,2026-08-23T17:09:42
B033,o,204.2,2026-08-23T17:13:06
B034,?,14.0,2026-08-23T17:13:20
B035,o,13.0,2026-08-23T17:13:33
B036,n,11.4,2026-08-23T17:13:45
B037,n,11.6,2026-08-23T17:13:56
B038,n,13.5,2026-08-23T17:14:10
B039,?,39.3,2026-08-23T17:14:49
B040,n,217.6,2026-08-23T17:18:27
B041,n,32.4,2026-08-23T17:18:59
B042,n,141.2,2026-08-23T17:21:20
B043,o,76.3,2026-08-23T17:22:37
B044,n,6.5,2026-08-23T17:22:43
B045,n,34.9,2026-08-23T17:23:18
B046,n,2.4,2026-08-23T17:23:20
B047,n,11.9,2026-08-23T17:23:32
B048,o,11.0,2026-08-23T17:23:43
B049,n,21.9,2026-08-23T17:24:05
B050,n,6.4,2026-08-23T17:24:12
B051,n,2.9,2026-08-23T17:24:14
B052,n,18.8,2026-08-23T17:24:33
B053,n,7.5,2026-08-23T17:24:41
B054,n,7.2,2026-08-23T17:24:48
B055,o,2.7,2026-08-23T17:24:51
B056,?,191.8,2026-08-23T17:28:03
B057,n,121.3,2026-08-23T17:30:04
B058,n,26.9,2026-08-23T17:30:31
B059,n,4.0,2026-08-23T17:30:35
B060,n,10.4,2026-08-23T17:30:45
B061,n,8.0,2026-08-23T17:30:53
B062,o,9.8,2026-08-23T17:31:03
B063,o,11.7,2026-08-23T17:31:15
B064,n,9.4,2026-08-23T17:31:24
B065,o,16.5,2026-08-23T17:31:41
B066,?,11.5,2026-08-23T17:31:52
B067,n,3.8,2026-08-23T17:31:56
B068,n,4.3,2026-08-23T17:32:00
B069,n,77.6,2026-08-23T17:33:18
B070,o,3.3,2026-08-23T17:33:21
B071,n,5.8,2026-08-23T17:33:27
B072,n,4.3,2026-08-23T17:33:31
B073,o,4.1,2026-08-23T17:33:35
B074,n,9.3,2026-08-23T17:33:44
B075,n,4.4,2026-08-23T17:33:49
B076,n,90.3,2026-08-23T17:35:19
B077,o,3.3,2026-08-23T17:35:22
B078,o,9.3,2026-08-23T17:35:32
B079,n,9.4,2026-08-23T17:35:41
B080,o,4.6,2026-08-23T17:35:46
B081,n,81.9,2026-08-23T17:37:08
B082,n,3.5,2026-08-23T17:37:11
B083,n,39.5,2026-08-23T17:37:51
B084,?,9.2,2026-08-23T17:38:00
B085,o,11.6,2026-08-23T17:38:11
B086,o,4.1,2026-08-23T17:38:16
B087,n,61.0,2026-08-23T17:39:17
B088,n,4.9,2026-08-23T17:39:22
B089,?,9.8,2026-08-23T17:39:31
B090,o,80818.6,2026-08-24T16:06:30
B091,?,126.4,2026-08-24T16:08:36
B092,n,14.2,2026-08-24T16:08:51
B093,n,28.7,2026-08-24T16:09:19
B094,o,22.9,2026-08-24T16:09:42
B095,n,4.9,2026-08-24T16:09:47
B096,o,4.6,2026-08-24T16:09:52
B097,n,5.8,2026-08-24T16:09:57
B098,n,93.5,2026-08-24T16:11:31
B099,n,8.3,2026-08-24T16:11:39
B100,n,21.6,2026-08-24T16:12:01
B101,o,13.6,2026-08-24T16:12:15
B102,o,2.8,2026-08-24T16:12:17
B103,n,55.6,2026-08-24T16:13:13
B104,?,13.6,2026-08-24T16:13:27
B105,o,7.6,2026-08-24T16:13:34
B106,n,144.9,2026-08-24T16:15:59
B107,n,17.4,2026-08-24T16:16:16
B108,?,85.4,2026-08-24T16:17:42
B109,o,9.8,2026-08-24T16:17:52
B110,n,3.8,2026-08-24T16:17:55
B111,n,5.4,2026-08-24T16:18:01
B112,n,8.7,2026-08-24T16:18:09
B113,?,24.4,2026-08-24T16:18:34
B114,n,18.7,2026-08-24T16:18:53
B115,n,8.5,2026-08-24T16:19:01
B116,n,2.5,2026-08-24T16:19:04
B117,n,5.6,2026-08-24T16:19:09
B118,o,29.1,2026-08-24T16:19:38
B119,n,43.1,2026-08-24T16:20:21
B120,o,36.6,2026-08-24T16:20:58
B121,n,12.0,2026-08-24T16:21:10
B122,?,14.8,2026-08-24T16:21:25
B123,n,47.8,2026-08-24T16:22:13
B124,n,9.0,2026-08-24T16:22:22
B125,n,4.9,2026-08-24T16:22:26
B126,o,9.0,2026-08-24T16:22:35
B127,o,5.1,2026-08-24T16:22:40
B128,n,44.7,2026-08-24T16:23:25
B129,n,60.0,2026-08-24T16:24:25
C001,n,76.4,2026-08-25T09:47:25
C002,n,2.3,2026-08-25T09:47:28
C003,n,7.8,2026-08-25T09:47:35
C004,o,31.6,2026-08-25T09:48:07
C005,n,21.6,2026-08-25T09:48:28
C006,n,50.1,2026-08-25T09:49:19
C007,?,10.6,2026-08-25T09:49:29
