fascicule,source,n_pages,score_moyen,score_min,score_max
4109000,BnF,4,0.85,0.8,0.9
4109000,Pero,4,0.875,0.8,0.9
4109000,Mistral,4,0.975,0.9,1.0
4109676,BnF,4,0.8,0.7,0.9
4109676,Pero,4,0.8,0.7,0.9
4109676,Mistral,4,0.975,0.9,1.0
4112815,BnF,4,0.85,0.8,0.9
4112815,Pero,4,0.875,0.8,0.9
4112815,Mistral,4,0.975,0.9,1.0
4116651,BnF,4,0.85,0.8,0.9
4116651,Pero,4,0.85,0.8,0.9
4116651,Mistral,4,0.95,0.9,1.0
4117053,BnF,4,0.85,0.8,0.9
4117053,Pero,4,0.875,0.8,0.9
4117053,Mistral,4,0.975,0.9,1.0
4123163,BnF,4,0.8,0.8,0.8
4123163,Pero,4,0.8,0.8,0.8
4123163,Mistral,4,0.95,0.9,1.0
4133627,BnF,6,0.85,0.8,0.9
4133627,Pero,6,0.85,0.8,0.9
4133627,Mistral,6,0.983,0.9,1.0
4133872,BnF,6,0.85,0.8,0.9
4133872,Pero,6,0.867,0.8,0.9
4133872,Mistral,6,0.967,0.9,1.0
4134119,BnF,6,0.833,0.8,0.9
4134119,Pero,6,0.833,0.8,0.9
4134119,Mistral,6,0.967,0.9,1.0
4135298,BnF,6,0.767,0.7,0.8
4135298,Pero,6,0.833,0.8,0.9
4135298,Mistral,6,0.95,0.9,1.0
