fascicule,page,nb_mots_total,nb_chars_total,tokens_distincts,nb_articles
4109000,X0000001,2979,14118,1295,11
4109000,X0000002,3151,15714,1492,8
4109000,X0000003,4020,16489,1455,8
4109000,X0000004,3585,16150,1305,6
4109676,X0000001,2543,12620,1224,6
4109676,X0000002,3318,17187,1504,21
4109676,X0000003,3818,16418,1498,11
4109676,X0000004,3965,12716,1033,17
4112815,X0000001,4626,21881,1751,6
4112815,X0000002,4881,24482,2082,25
4112815,X0000003,5584,28651,2404,13
4112815,X0000004,7507,30548,2377,18
4116651,X0000001,3067,15103,1391,7
4116651,X0000002,4472,21579,1871,4
4116651,X0000003,6758,22883,1805,11
4116651,X0000004,8095,18916,1109,6
4117053,X0000001,3696,17934,1542,5
4117053,X0000002,3686,18199,1619,7
4117053,X0000003,4618,19564,1699,8
4117053,X0000004,7057,21137,1567,13
4123163,X0000001,2525,13138,1302,20
4123163,X0000002,5306,26087,2370,21
4123163,X0000003,5121,26444,2287,29
4123163,X0000004,5803,29112,2625,30
4133627,X0000001,2541,12580,1232,15
4133627,X0000002,5303,26596,2341,15
4133627,X0000003,4653,23652,2097,28
4133627,X0000004,4855,24774,2180,20
4133627,X0000005,4822,22544,1942,16
4133627,X0000006,4450,22594,2021,8
4133872,X0000001,2688,13682,1298,15
4133872,X0000002,4257,21656,1959,16
4133872,X0000003,4216,21072,1962,34
4133872,X0000004,4565,23669,2077,28
4133872,X0000005,3594,18793,1685,18
4133872,X0000006,4168,18325,1414,9
4134119,X0000001,2212,11013,1112,17
4134119,X0000002,4349,21055,1975,23
4134119,X0000003,3899,19611,1786,23
4134119,X0000004,4811,25118,2081,29
4134119,X0000005,4553,23682,2011,26
4134119,X0000006,3440,17043,1430,9
4135298,X0000001,4330,21446,1902,5
4135298,X0000002,5332,27068,2159,13
4135298,X0000003,5758,28945,2305,31
4135298,X0000004,4890,26587,2163,36
4135298,X0000005,8341,28691,2189,15
4135298,X0000006,4698,20029,1668,20
