fascicule,page,source,tokens_distincts,nb_mots_total,nb_chars_total,nb_articles
4109000,X0000001,BnF,1415,2835,13651,11
4109000,X0000001,Pero,1353,2784,13629,11
4109000,X0000001,Mistral,1295,2979,14118,11
4109000,X0000002,BnF,1644,3255,15686,8
4109000,X0000002,Pero,1614,3196,15648,8
4109000,X0000002,Mistral,1492,3151,15714,8
4109000,X0000003,BnF,1676,3339,15795,8
4109000,X0000003,Pero,1609,3309,15362,8
4109000,X0000003,Mistral,1455,4020,16489,8
4109000,X0000004,BnF,1394,3024,14239,6
4109000,X0000004,Pero,1321,2886,13800,6
4109000,X0000004,Mistral,1305,3585,16150,6
4109676,X0000001,BnF,1408,2652,12684,6
4109676,X0000001,Pero,1322,2500,12348,6
4109676,X0000001,Mistral,1224,2543,12620,6
4109676,X0000002,BnF,1692,3374,16993,21
4109676,X0000002,Pero,1635,3268,16600,21
4109676,X0000002,Mistral,1504,3318,17187,21
4109676,X0000003,BnF,1663,3204,15673,11
4109676,X0000003,Pero,1626,3237,15697,11
4109676,X0000003,Mistral,1498,3818,16418,11
4109676,X0000004,BnF,1425,2724,11943,17
4109676,X0000004,Pero,1314,3014,12245,17
4109676,X0000004,Mistral,1033,3965,12716,17
4112815,X0000001,BnF,1992,4563,21637,6
4112815,X0000001,Pero,1883,4489,21581,6
4112815,X0000001,Mistral,1751,4626,21881,6
4112815,X0000002,BnF,2347,5021,24279,25
4112815,X0000002,Pero,2263,4991,24373,25
4112815,X0000002,Mistral,2082,4881,24482,25
4112815,X0000003,BnF,2706,5686,27999,13
4112815,X0000003,Pero,2568,5595,28037,13
4112815,X0000003,Mistral,2404,5584,28651,13
4112815,X0000004,BnF,2668,6260,28168,18
4112815,X0000004,Pero,2591,6115,28308,18
4112815,X0000004,Mistral,2377,7507,30548,18
4116651,X0000001,BnF,1513,2964,14666,7
4116651,X0000001,Pero,1449,2868,14375,7
4116651,X0000001,Mistral,1391,3067,15103,7
4116651,X0000002,BnF,2010,4632,21611,4
4116651,X0000002,Pero,1956,4537,21508,4
4116651,X0000002,Mistral,1871,4472,21579,4
4116651,X0000003,BnF,2048,4519,20581,11
4116651,X0000003,Pero,1988,4686,20502,11
4116651,X0000003,Mistral,1805,6758,22883,11
4116651,X0000004,BnF,1761,3891,18084,6
4116651,X0000004,Pero,1659,4440,18367,6
4116651,X0000004,Mistral,1109,8095,18916,6
4117053,X0000001,BnF,1758,3608,16984,5
4117053,X0000001,Pero,1621,3381,16553,5
4117053,X0000001,Mistral,1542,3696,17934,5
4117053,X0000002,BnF,1817,3772,18213,7
4117053,X0000002,Pero,1736,3710,18014,7
4117053,X0000002,Mistral,1619,3686,18199,7
4117053,X0000003,BnF,1971,4290,19976,8
4117053,X0000003,Pero,1912,4602,20254,8
4117053,X0000003,Mistral,1699,4618,19564,8
4117053,X0000004,BnF,2125,4715,19673,13
4117053,X0000004,Pero,2003,5197,19814,13
4117053,X0000004,Mistral,1567,7057,21137,13
4123163,X0000001,BnF,1478,2587,12586,20
4123163,X0000001,Pero,1417,2486,12369,20
4123163,X0000001,Mistral,1302,2525,13138,20
4123163,X0000002,BnF,2730,5564,26383,21
4123163,X0000002,Pero,2599,5350,25583,21
4123163,X0000002,Mistral,2370,5306,26087,21
4123163,X0000003,BnF,2742,5472,26675,29
4123163,X0000003,Pero,2576,5227,25803,29
4123163,X0000003,Mistral,2287,5121,26444,29
4123163,X0000004,BnF,3046,5865,28524,30
4123163,X0000004,Pero,2885,5536,27327,30
4123163,X0000004,Mistral,2625,5803,29112,30
4133627,X0000001,BnF,1296,2475,11727,15
4133627,X0000001,Pero,1267,2427,11528,15
4133627,X0000001,Mistral,1232,2541,12580,15
4133627,X0000002,BnF,2697,5486,26620,15
4133627,X0000002,Pero,2554,5409,26491,15
4133627,X0000002,Mistral,2341,5303,26596,15
4133627,X0000003,BnF,2357,4863,23805,28
4133627,X0000003,Pero,2281,4733,23364,28
4133627,X0000003,Mistral,2097,4653,23652,28
4133627,X0000004,BnF,2436,4994,24402,20
4133627,X0000004,Pero,2377,4886,24076,20
4133627,X0000004,Mistral,2180,4855,24774,20
4133627,X0000005,BnF,2231,4705,22385,16
4133627,X0000005,Pero,2176,4656,22036,16
4133627,X0000005,Mistral,1942,4822,22544,16
4133627,X0000006,BnF,2279,4668,22733,8
4133627,X0000006,Pero,2223,4590,22439,8
4133627,X0000006,Mistral,2021,4450,22594,8
4133872,X0000001,BnF,1473,2814,13709,15
4133872,X0000001,Pero,1430,2764,13533,15
4133872,X0000001,Mistral,1298,2688,13682,15
4133872,X0000002,BnF,2163,4449,21853,16
4133872,X0000002,Pero,2102,4309,21355,16
4133872,X0000002,Mistral,1959,4257,21656,16
4133872,X0000003,BnF,2206,4418,21276,34
4133872,X0000003,Pero,2126,4327,20891,34
4133872,X0000003,Mistral,1962,4216,21072,34
4133872,X0000004,BnF,2391,4735,23598,28
4133872,X0000004,Pero,2292,4604,22988,28
4133872,X0000004,Mistral,2077,4565,23669,28
4133872,X0000005,BnF,1914,3777,19017,18
4133872,X0000005,Pero,1848,3702,18688,18
4133872,X0000005,Mistral,1685,3594,18793,18
4133872,X0000006,BnF,1628,4317,18383,9
4133872,X0000006,Pero,1595,4208,18040,9
4133872,X0000006,Mistral,1414,4168,18325,9
4134119,X0000001,BnF,1254,2298,11059,17
4134119,X0000001,Pero,1189,2232,10757,17
4134119,X0000001,Mistral,1112,2212,11013,17
4134119,X0000002,BnF,2237,4519,21282,23
4134119,X0000002,Pero,2131,4356,20586,23
4134119,X0000002,Mistral,1975,4349,21055,23
4134119,X0000003,BnF,1956,3693,17817,23
4134119,X0000003,Pero,1872,3627,17690,23
4134119,X0000003,Mistral,1786,3899,19611,23
4134119,X0000004,BnF,2476,5228,25204,29
4134119,X0000004,Pero,2327,4919,24624,29
4134119,X0000004,Mistral,2081,4811,25118,29
4134119,X0000005,BnF,2378,4768,23886,26
4134119,X0000005,Pero,2266,4707,23506,26
4134119,X0000005,Mistral,2011,4553,23682,26
4134119,X0000006,BnF,1609,3698,17318,9
4134119,X0000006,Pero,1585,3524,16990,9
4134119,X0000006,Mistral,1430,3440,17043,9
4135298,X0000001,BnF,2187,4498,21066,5
4135298,X0000001,Pero,2043,4300,20763,5
4135298,X0000001,Mistral,1902,4330,21446,5
4135298,X0000002,BnF,2655,5585,27640,13
4135298,X0000002,Pero,2373,5450,26948,13
4135298,X0000002,Mistral,2159,5332,27068,13
4135298,X0000003,BnF,2854,6104,29314,31
4135298,X0000003,Pero,2616,5918,28808,31
4135298,X0000003,Mistral,2305,5758,28945,31
4135298,X0000004,BnF,2659,5243,27102,36
4135298,X0000004,Pero,2395,5048,26408,36
4135298,X0000004,Mistral,2163,4890,26587,36
4135298,X0000005,BnF,2804,5425,25024,15
4135298,X0000005,Pero,2597,5979,26734,15
4135298,X0000005,Mistral,2189,8341,28691,15
4135298,X0000006,BnF,1877,3778,17902,20
4135298,X0000006,Pero,1749,3889,17808,20
4135298,X0000006,Mistral,1668,4698,20029,20
