l2_code,l2_label,n_enfants_l3,n_articles_observes,n_articles_extrapoles,n_lots,tokens_fixe_par_appel,tokens_input_total,cout_sans_cache_min,cout_sans_cache_max,cout_avec_cache_min,cout_avec_cache_max
20000209,Secteurs économiques,19,36,846,34,558,460406,0.2708,0.3216,0.156,0.2068
20000002,Arts et divertissement,11,33,776,32,408,417965,0.2462,0.2928,0.142,0.1886
20000593,Gouvernement,22,21,494,20,589,269544,0.1585,0.1881,0.0913,0.1209
20000344,Économie,10,17,400,16,411,215292,0.1268,0.1508,0.0732,0.0972
20000638,Relations internationales,6,15,353,15,347,189397,0.1116,0.1328,0.0644,0.0856
20000082,Criminalité,21,14,329,14,577,179747,0.1057,0.1254,0.0609,0.0806
20000464,Traitements,10,13,306,13,413,165037,0.0972,0.1156,0.0561,0.0744
20000170,Microéconomie,6,12,282,12,357,151429,0.0893,0.1062,0.0515,0.0684
20000385,Marchés,4,12,282,12,321,150997,0.089,0.1017,0.0514,0.0641
20000822,Discipline,111,11,259,11,1896,156000,0.0904,0.106,0.0515,0.0671
20000045,Médias,8,9,212,9,372,113967,0.0672,0.0799,0.0387,0.0515
20000524,Relations du travail,2,8,188,8,287,100393,0.0592,0.062,0.0342,0.037
20000148,Désastres,3,7,165,7,301,88202,0.052,0.057,0.03,0.035
20000139,Accident,5,5,118,5,333,63236,0.0373,0.0444,0.0215,0.0286
20000129,Forces de l'ordre,4,5,118,5,313,63136,0.0372,0.0425,0.0215,0.0268
20000106,Système judiciaire,3,4,94,4,302,50256,0.0296,0.0325,0.0171,0.0199
20000621,Politique du gouvernement,19,4,94,4,548,51240,0.0301,0.0358,0.0174,0.023
20000808,Valeurs,4,3,71,3,320,38007,0.0224,0.0256,0.0129,0.0161
20000446,Maladies et état de santé,8,3,71,3,387,38208,0.0225,0.0268,0.013,0.0172
20000690,Fête religieuse,9,3,71,3,397,38238,0.0225,0.0268,0.013,0.0173
20000565,Mode de vie,5,3,71,3,342,38073,0.0224,0.0267,0.013,0.0172
20000538,Loisirs,8,3,71,3,379,38184,0.0225,0.0268,0.013,0.0172
20000065,Troubles civils,4,3,71,3,315,37992,0.0224,0.0256,0.0129,0.0161
20000056,Conflit armé,4,3,71,3,316,37995,0.0224,0.0256,0.0129,0.0161
20000441,Nature,10,3,71,3,402,38253,0.0225,0.0268,0.013,0.0173
20000509,Emploi,10,3,71,3,419,38304,0.0226,0.0268,0.013,0.0173
20000400,"Écoles, collèges, lycées",10,3,71,3,409,38274,0.0225,0.0268,0.013,0.0173
20000697,Établissement religieux,3,3,71,3,299,37944,0.0224,0.0245,0.0129,0.0151
20000817,Protection sociale,6,2,47,2,353,25230,0.0149,0.0177,0.0086,0.0114
20000742,Sciences sociales,12,2,47,2,425,25374,0.0149,0.0178,0.0086,0.0114
20000574,Élections,15,2,47,2,484,25492,0.015,0.0178,0.0086,0.0115
20000461,Centre de soins,2,2,47,2,291,25106,0.0148,0.0155,0.0086,0.0093
20000504,Mondanités,1,2,47,2,271,25066,0.0148,0.0148,0.0085,0.0085
20000038,Culture,7,1,24,1,361,12884,0.0076,0.009,0.0044,0.0058
20000657,Croyances,16,1,24,1,499,13022,0.0077,0.0091,0.0044,0.0059
20000780,Famille,7,1,24,1,363,12886,0.0076,0.009,0.0044,0.0058
20000802,Problèmes sociaux,7,1,24,1,368,12891,0.0076,0.009,0.0044,0.0058
20000485,Profession médicale,3,1,24,1,304,12827,0.0076,0.0083,0.0044,0.0051
20000770,Démographie,1,1,24,1,270,12793,0.0075,0.0075,0.0044,0.0044
